LcmsUnit,UnitLongDesc,InstrLvl,Total
K548,Brooklyn School for Music & Theatre,4,7145598.96
K549,Bushwick School for Social Justice,4,9227687.78
K552,Academy of Urban Planning,4,6924579.89
K553,Brooklyn Academy High School,4,4262939.27
K554,All City Leadership Secondary School,4,6559777.55
K555,Brooklyn College Academy,4,10894290.28
K556,Bushwick Leaders High School for Academic Excellence,4,7954712.18
K558,Williamsburg High School for Architecture and Design,4,11970805.41
K559,Life Academy High School for Film and Music,4,5490720.66
K561,Williamsburg Preparatory School,4,11471672.79
K563,It Takes a Village Academy,4,11893240.75
K564,Bushwick Community High School,4,6554417.65
K566,Brooklyn Generation School,4,6487008.95
K567,Brooklyn Theatre Arts High School,4,7694235.12
K568,Brownsville Academy High School,4,6492420.35
K569,Kurt Hahn Expeditionary Learning School,4,6743407.35
K572,Expeditionary Learning School for Community Leader,4,5658937.91
K575,Bedford Stuyvesant Preparatory High School,4,3422628.28
K576,Victory Collegiate High School,4,6649902.8
K578,Brooklyn Bridge Academy,4,4279234.73
K583,Multicultural High School,4,6375917.3
K586,Lyons Community School,4,10855342.6
K589,Arts & Media Preparatory Academy,4,5189576.72
K590,Medgar Evers College Preparatory School,4,19123953.41
K592,Khalil Gibran International Academy,4,4526557.19
K594,Gotham Professional Arts Academy,4,4722034.29
K595,Bedford Academy High School,4,7019372.7
K600,Clara Barton High School,4,30428686.85
K605,George Westinghouse Career and Technical Education,4,13518941.62
K609,Urban Assembly School for Criminal Justice,4,9195880.83
K610,Automotive High School,4,10648070.89
K611,Origins High School,4,4197566.48
K614,Young Women's Leadership School of Brooklyn,4,8015942.69
K615,Transit Tech Career and Technical Education High School,4,22711594.99
K616,Brooklyn High School for Leadership and Community,4,4429694.43
K617,High School for Innovation in Advertising and Media,4,6677918.04
K618,Academy of Innovative Technology,4,9394116.58
K620,William E. Grady Career and Technical Education High School,4,16557575.91
K629,Cultural Academy for the Arts and Sciences,4,7225616.59
K630,Professional Pathways High School,4,3766515.81
K632,Frances Perkins Academy,4,3284283.64
K633,High School for Medical Professions,4,8803670.18
K635,Olympus Academy,4,3852438.36
K637,Academy for Conservation and the Environment,4,6119779.73
K639,Brooklyn Lab School,4,7986651.21
K642,Urban Action Academy,4,6649418.47
K643,Brooklyn Democracy Academy,4,4629740.47
K644,Eagle Academy for Young Men II,4,12009617.02
K646,Aspirations Diploma Plus High School,4,6185082.18
K647,Metropolitan Diploma Plus High School,4,4008387.94
K656,Brooklyn High School of the Arts,4,15802059.2
K657,Downtown Brooklyn Yabc,4,4745669
K658,Franklin Delano Roosevelt YABC,4,4091719.19
K659,Cypress Hills Collegiate Preparatory School,4,8074327.46
K660,W. H. Maxwell Career and Technical Education High,4,14527922.24
K667,Sunset Park High School,4,24746137.61
K669,Research and Service High School,4,4807964.12
K670,Benjamin Banneker Academy,4,16425544.62
K673,East Brooklyn Community High School,4,5014293.79
K674,"City Polytechnic High School of Engineering, Architecture",4,8852136.87
K683,"The School For Classics: An Academy Of Thinkers, Writers",4,6340841.28
K684,Millennium Brooklyn HS,4,11919994.29
K685,El Puente Academy for Peace and Justice,4,6254573.22
K688,The Brooklyn Academy of Global Finance,4,3747743.06
K690,Brooklyn Studio Secondary School,4,16352047.82
K697,Teachers Preparatory High School,4,8332767.87
K698,South Brooklyn Community High School,4,4049227.71
K728,Liberation Diploma Plus,4,4148615.72
K745,Brooklyn Institute for Liberal Arts,4,4718280.16
K751,Academy for Health Careers,4,8527326.23
K764,The Urban Assembly School for Collaborative Health,4,1693250.56
K765,Nelson Mandela High School,4,2881656.2
K922,South Shore Educational Complex Yabc,4,3951248.53
K923,Automotive High School Yabc,4,4071830.55
K959,BOYS AND GIRLS YABC,4,4330141.94
M047,47 The American Sign Language and English Secondary,4,6890472.17
M135,The Urban Assembly School for Emergency Management,4,4584031.98
M139,Stephen T. Mather Building Arts & Craftsmanship High School,4,4916335.59
M157,The Urban Assembly School for Global Commerce,4,3458759.67
M211,Inwood Early College for Health and Information Te,4,2214687.27
M280,Manhattan Early College School for Advertising,4,2448951.9
M282,Urban Assembly Maker Academy,4,2555398.02
M283,Manhattan Theatre Lab High School,4,2293600.61
M285,Harlem Renaissance High School,4,5687258.54
M288,Food and Finance High School,4,8529553.07
M292,Henry Street School for International Studies,4,6706206.24
M293,City College Academy of the Arts,4,10651107.5
M294,Essex Street Academy,4,6992383.3
M296,High School of Hospitality Management,4,7898362.12
M298,Pace High School,4,7386370.65
M299,"High School for Arts, Imagination and Inquiry",4,8833263.46
M300,Urban Assembly School of Design and Construction,4,7943512.76
M303,"Facing History School, The",4,8644207.11
M304,Mott Hall High School,4,7015789.08
M305,"Urban Assembly Academy of Government and Law, The",4,6214467.54
M307,"Urban Assembly School for Media Studies, The",4,7728815.99
M308,Lower Manhattan Arts Academy,4,7846830.76
M313,"James Baldwin School, The: A School for Expedition",4,5008370.42
M316,"Urban Assembly School of Business for Young Women, The",4,9965863.27
M346,Community Health Academy of the Heights,4,12709025.63
M348,Washington Heights Expeditionary Learning School,4,14422325.23
M362,Columbia Secondary School,4,10533206.54
M367,Academy for Social Action: A College Board School,4,5135531.7
M369,Urban Assembly School for the Performing Arts,4,6421480.45
M372,Esperanza Preparatory Academy,4,13605609.1
M374,Gramercy Arts High School,4,9818645.74
M376,NYC iSchool,4,7479462.75
M392,Manhattan Business Academy,4,8064877.01
M393,Business of Sports School,4,9959443.59
M394,Emma Lazarus High School,4,4920646.6
M399,The High School For Language and Diplomacy,4,8016537.01
M400,High School for Environmental Studies,4,24020151.46
M402,The Urban Assembly School for Green Careers,4,7874751.1
M403,The Global Learning Collaborative,4,10383719
M404,Innovation Diploma Plus,4,4095803.61
M407,Institute for Collaborative Education,4,6833112.04
M408,Professional Performing Arts High School,4,9358842.04
M409,Coalition School for Social Change,4,6882963.81
M411,Baruch College Campus High School,4,9719243.18
M412,N.Y.C. Lab School for Collaborative Studies,4,10652819.61
M413,School of the Future High School,4,13145080.68
M414,N.Y.C. Museum School,4,7478090.58
M415,Wadleigh Secondary School for the Performing & Visual Arts,4,10840141.45
M416,Eleanor Roosevelt High School,4,11419392.35
M417,Frank McCourt High School,4,6775220.47
M418,Millennium High School,4,13553266.41
M419,Landmark High School,4,7435680.08
M420,High School for Health Professions and Human Services,4,26737730.15
M422,Quest to Learn,4,11210070.82
M423,High School for Excellence and Innovation,4,5586875.76
M425,Leadership and Public Service High School,4,14898800.32
M427,Manhattan Academy For Arts & Language,4,7679771.18
M429,Legacy School for Integrated Studies,4,1962967.1
M432,Murray Hill Academy,4,7765976.49
M435,Manhattan Center for Science and Mathematics,4,23943767.89
M437,Hudson High School of Learning Technologies,4,9451927.65
M438,International High School at Union Square,4,7284569.65
M439,Manhattan Village Academy,4,9979920.03
M448,University Neighborhood High School,4,7461064.19
M449,Vanguard High School,4,9381422.53
M450,East Side Community School,4,14176449.49
M457,George Washington Yabc,4,4270952.88
M458,Forsyth Satellite Academy,4,3896855.98
M459,Manhattan International High School,4,6424427.71
M460,Washington Irving High School,4,5363376.67
M462,The College Academy,4,11144634.36
M463,High School for Media and Communications,4,9325123.23
M467,High School for Law and Public Service,4,13417285.95
M468,High School for Health Careers and Sciences,4,12443006.62
M469,Choir Academy of Harlem,4,3326744.01
M473,Washington Irving Yabc,4,4176203.12
M475,Stuyvesant High School,4,51480821.86
M479,Beacon High School,4,21596606.99
M485,Fiorello H. LaGuardia HS of Music & Art and Perform. Arts,4,42882397.49
M489,High School of Economics and Finance,4,18437137.36
M492,"High School for Law, Advocacy and Community Justice",4,10871570.65
M494,High School of Arts and Technology,4,11152002.78
M495,Park East High School,4,8088160.74
M499,Frederick Douglass Academy,4,25313653.94
M500,Unity Center for Urban Technologies,4,6451195.25
M505,Edward A. Reynolds West Side High School,4,11839498.02
M507,Urban Assembly Gateway School for Technology,4,9421409.99
M509,Marta Valle High School,4,9558039.52
M515,Lower East Side Preparatory High School,4,11378253.13
M519,Talent Unlimited High School,4,8922592.32
M520,Murry Bergtraum High School for Business Careers,4,22997718.53
M529,Jacqueline Kennedy Onassis High School,4,12121374.22
M531,Repertory Company High School for Theatre Arts,4,4977812.52
M533,Union Square Academy for Health Sciences,4,6737356.12
M534,Harvest Collegiate High School,4,8733438.27
M539,"New Explorations into Science, Technology and Math",4,25088166.6
M540,A. Philip Randolph Campus High School,4,22730692.25
M541,Manhattan / Hunter Science High School,4,8001757.79
M542,Manhattan Bridges High School,4,10390459.96
M543,New Design High School,4,8838779.51
M544,Independence High School,4,6840440.9
M545,High School for Dual Language and Asian Studies,4,7730234.92
M546,Academy for Software Engineering,4,7162160.86
M550,Liberty High School Academy for Newcomers,4,8474745.42
M551,Urban Assembly New York Harbor School,4,9193612.42
M552,Gregorio Luperon High School for Science and Math,4,9824385.48
M555,Central Park East High School,4,9518625.11
M560,High School M560 - City As School,4,11979348.75
M565,Urban Academy Laboratory High School,4,3820571.97
M570,Satellite Academy High School,4,6070620.27
M575,Manhattan Comprehensive Night and Day High School,4,14283195.77
M580,Richard R. Green High School of Teaching,4,15510292.52
M586,Harvey Milk High School,4,2929985.79
M600,The High School of Fashion Industries,4,30286358.25
M605,Humanities Preparatory Academy,4,4490179.62
M610,Young Women's Leadership School,4,9255242.58
M615,Chelsea Career and Technical Education High School,4,9633887.58
M625,High School of Graphic Communication Arts,4,9541374.77
M630,Art and Design High School,4,25814741.79
M650,Cascades High School,4,4390288.13
M655,Life Sciences Secondary School,4,12947309.83
M670,Thurgood Marshall Academy for Learning and Social Change,4,10909538.43
M680,"Heritage School, The",4,7305237.52
M685,Bread & Roses Integrated Arts High School,4,4379041.12
M692,"High School for Mathematics, Science and Engineering",4,9120735.52
M696,Bard High School Early College,4,9421376.46
M859,Special Music School,4,4864198.61
M860,Frederick Douglass Academy II Secondary School,4,8836201.69
M973,Restart Academy,4,19796831.09
Q167,Metropolitan Expeditionary Learning School,4,13222797.97
Q236,International High School for Health Sciences,4,2984950.81
Q240,Veritas Academy,4,5220068.92
Q241,Queens High School for Language Studies,4,3890398.08
Q243,Institute for Health Professions at Cambria Height,4,3574243.11
Q248,Queens Preparatory Academy,4,7925082.98
Q252,"Queens School of Inquiry, The",4,11018811.63
Q258,Energy Tech High School,4,4352531.69
Q259,Pathways College Preparatory School: A College Board,4,10012011.12
Q260,Frederick Douglass Academy VI High School,4,7293945.97
Q261,Voyages Prep - South Queens,4,4503213.73
Q262,Channel View School for Research,4,15290168.13
Q263,Flushing International High School,4,8110934.78
Q264,Academy of Finance and  Enterprise,4,9358710.84
Q265,Excelsior Preparatory High School,4,8774576
Q267,High School of Applied Communication,4,8431505.94
Q272,George Washington Carver High School for the Scien,4,8905402.24
Q281,East-West School of International Studies,4,12169100.77
Q283,Preparatory Academy for Writers: A College Board S,4,9801389.89
Q284,York Early College Academy,4,10226774.33
Q285,World Journalism Preparatory: A College Board School,4,10470404.88
Q286,"Young Women's Leadership School, Astoria",4,10156610.56
Q293,Civic Leadership Academy,4,8987130.06
Q296,Pan American International High School,4,7933005.35
Q299,Bard High School Early College Queens,4,11273362.9
Q301,Academy for Careers in Television and Film,4,9279343.65
Q302,"Queens High School for Information, Research, and Technology",4,6884897.26
Q308,Robert H. Goddard High School of Communication Art,4,9609908.32
Q309,Academy of Medical Technology: A College Board School,4,11411019.36
Q310,Queens Collegiate: A College Board School,4,12787396.76
Q313,Benjamin Franklin High School for Finance & Inform,4,2535504.83
Q314,Epic High School - South,4,1896604.73
Q315,Business Technology Early College High School,4,2758557.17
Q323,Scholars' Academy,4,18309598.67
Q324,Rockaway Park High School For Environmental Sustainability,4,8741809.83
Q325,Hillside Arts & Letters Academy,4,8787236.76
Q326,Cambria Heights Academy,4,7164966.44
Q327,Eagle Academy for Young Men III,4,9984009
Q328,High School for Community Leadership,4,7876768.87
Q334,Epic High School - North,4,2374910.87
Q338,Queens Satellite High School for Opportunity,4,4512811.98
Q344,East River Academy,4,23263875.28
Q350,Jamaica Gateway to the Sciences,4,9155061.19
Q351,Rockaway Collegiate High School,4,8367525.75
Q400,August Martin High School,4,16089686.4
Q415,Benjamin N. Cardozo High School,4,51621888.04
Q425,John Bowne High School,4,59459112.31
Q430,Francis Lewis High School,4,66645029.11
Q435,Martin Van Buren High School,4,32079526.03
Q440,Forest Hills High School,4,57150068.74
Q445,William Cullen Bryant High School,4,43827448.39
Q450,Long Island City High School,4,42562610.07
Q455,Newtown High School,4,36545700.91
Q457,HS Arts & Business Yabc,4,4050392.34
Q460,Flushing High School,4,40231791.46
Q467,Flushing Yabc,4,4241873.43
Q475,Richmond Hill High School,4,40910262.26
Q480,John Adams High School,4,49335705.25
Q485,Grover Cleveland High School,4,34209285.77
Q487,John Adams Yabc,4,3938241.1
Q492,"Mathematics, Science Research and Technology Magnet",4,8289688.04
Q494,"Law, Government and Community Service High School",4,3728471.51
Q495,Bayside High School,4,51801765.2
Q496,"Business, Computer Applications & Entrepreneurship",4,3370198.23
Q498,Humanities & Arts Magnet High School,4,9788391.88
Q501,Frank Sinatra School of the Arts High School,4,14256895.3
Q502,Information Technology High School,4,19945951.04
Q505,Hillcrest High School,4,51891682.49
Q520,Middle College High School at LaGuardia Community,4,10354687.86
Q525,Townsend Harris High School,4,18680211.45
Q530,International High School at LaGuardia Community College,4,9120008.48
Q540,Queens Academy High School,4,7561171.52
Q550,High School for Arts and Business,4,14659503.3
Q555,Newcomers High School,4,17544075
Q560,"Robert F. Wagner, Jr. Secondary School for Arts & Techology",4,11644736.29
Q566,"Queens High School of Teaching, Liberal Arts & the Sciences",4,19832512.91
Q575,Academy of American Studies,4,13153097.85
Q580,Baccalaureate School for Global Education,4,9190697.91
Q585,Maspeth High School,4,15257131.91
Q600,Queens Vocational and Technical High School,4,28924777.32
Q610,Aviation Career & Technical Education High School,4,38548303.65
Q620,Thomas A. Edison Career and Technical Education High,4,36762143.43
Q650,"HS for Construction Trades, Engineering and Architecture",4,16464720.76
Q670,Robert F. Kennedy Community High School,4,13978202.46
Q680,Queens Gateway to Health Sciences Secondary School,4,13321833.69
Q686,Queens Metropolitan High School,4,17982035.22
Q687,Queens High School for the Sciences at York College,4,7483724.9
Q690,High School for Law Enforcement and Public Safety,4,11517163.48
Q744,VOYAGES Preparatory,4,4344952.01
Q792,North Queens Community High School,4,4223684.55
Q896,"Young Women's Leadership School, Queens",4,9200603.59
Q950,Pathways to Graduation,4,105624500.5
R047,CSI High School for International Studies,4,9820067.94
R064,Gaynor McCown Expeditionary Learning School,4,9253409.51
R080,The Michael J. Petrides School,4,29450084.36
R440,New Dorp High School,4,48373412.15
R445,Port Richmond High School,4,32231890.07
R450,Curtis High School,4,42842624.49
R455,Tottenville High School,4,63866643.47
R460,Susan E. Wagner High School,4,58979094.35
R470,Concord High School,4,4238003.55
R600,Ralph R. McKee Career and Technical Education High,4,14430803.26
R605,Staten Island Technical High School,4,19761892
R607,Staten Island Yabc,4,3335543.87
X141,Riverdale / Kingsbridge Academy (MS / HS 141),4,24845447.73
X213,Bronx Engineering and Technology Academy,4,8604725.78
X221,South Bronx Preparatory: A College Board School,4,13230741.3
X223,M.S. 223 The Laboratory School of Finance and Technology,4,10327955.24
X225,Theatre Arts Production Company School,4,12404564.89
X227,Bronx Collegiate Academy,4,8387960.46
X231,Eagle Academy for Young Men,4,12863632.69
X237,"The Marie Curie School for Medicine, Nursing, and",4,10419424.94
X241,Urban Assembly School for Applied Math and Science,4,12809941.56
X242,Mott Hall V,4,12441967.33
X243,West Bronx Academy for the Future,4,12737504.03
X248,"Metropolitan High School, The",4,6812783.19
X249,Bronx Health Sciences High School,4,6459472.26
X250,Eximius College Preparatory Academy: A College Board School,4,8773731.53
X251,Explorations Academy,4,7499183.87
X252,Mott Hall Bronx High School,4,7865605.9
X253,Bronx High School for Writing and Communication Arts,4,7997958.14
X259,"H.E.R.O. High (Health, Education, & Research Occupations HS)",4,4983772.2
X260,Bronx Center for Science and Mathematics,4,8409095.99
X263,Validus Preparatory Academy: An Expeditionary Learning,4,7478037.06
X264,Bronx Academy for Software Engineering (BASE),4,5334290.95
X265,Bronx Lab School,4,9130745.88
X267,Bronx Latin,4,11393337.14
X268,Kingsbridge International High School,4,8362955.37
X269,Bronx Studio School for Writers and Artists,4,12137963.67
X270,Academy for Scholarship & Entrepreneurship:A College,4,8297782.25
X271,East Bronx Academy for the Future,4,14261521.3
X275,High School of Computers and Technology,4,12163944.85
X276,Leadership Institute,4,5190524.49
X278,Peace and Diversity Academy,4,4529648.88
X282,Women's Academy of Excellence,4,7069813.32
X284,Bronx School of Law and Finance,4,9166190.96
X288,Collegiate Institute for Math and Science,4,12440356.32
X290,Bronx Academy of Health Careers,4,8713573.46
X293,Renaissance High School for Musical Theater & Technology,4,8078612.59
X295,Gateway School for Environmental Research and Technology,4,2654188.48
X297,Morris Academy for Collaborative Studies,4,9970454.33
X299,Astor Collegiate Academy,4,9304198.66
X305,Pablo Neruda Academy for Architecture and World Studies,4,8087677.39
X312,Millennium Art Academy,4,9750134.17
X319,Providing Urban Learners Success In Education High School,4,5874748.75
X320,Pelham Lab High School,4,4634436.74
