LcmsUnit,UnitLongDesc,InstrLvl,Total
X600,Alfred E. Smith Career and Technical Education HS,4,11790169.97
X650,Jane Addams High School for Academic Careers,4,5473403.6
X655,Samuel Gompers Career and Technical Education HS,4,4532619.98
X660,Grace Dodge Career and Technical Education High School,4,6795639.75
X667,Grace Dodge Yabc,4,3684053.92
X670,Health Opportunities High School,4,12016756.73
X682,Fannie Lou Hamer Freedom High School,4,11614660.12
X684,Wings Academy,4,11596398.95
X692,Monroe Academy for Visual Arts & Design,4,8925487.91
X695,Passages Academy,4,24614844.01
X696,High School of American Studies at Lehman College,4,6971557.42
K002,Parkside Preparatory Academy,2,9702142.31
K008,P.S. 008 Robert Fulton,2,15538437.33
K014,J.H.S. 014 Shell Bank,2,14931355.75
K030,PS/IS 30 Mary White Ovington,2,11855982.71
K035,M.S. 035 Stephen Decatur,2,5455510.04
K041,P.S. 041 Francis White,2,13154359.92
K045,P.S./I.S. 045 Horace E. Greene,2,17913197.62
K050,J.H.S. 050 John D. Wells,2,7163820.79
K051,M.S. 51 William Alexander,2,18894318.29
K057,J.H.S. 057 Whitelaw Reid,2,5779518.55
K061,M.S. 061 Dr. Gladstone H. Atwell,2,15134421.2
K062,J.H.S. 062 Ditmas,2,24517499.28
K066,P.S. 66,2,14527225.54
K068,I.S. 068 Isaac Bildersee,2,13772748.36
K073,P.S. 073 Thomas S. Boyland,2,4888656.29
K078,J.H.S. 078 Roy H. Mann,2,16741060.37
K088,J.H.S. 088 Peter Rouget,2,26888339.42
K089,P.S. 089 Cypress Hills,2,11373112.91
K095,P.S. 095 The Gravesend,2,19913411.82
K096,I.S. 096 Seth Low,2,14268262.16
K098,I.S. 98 Bay Academy,2,22525331.95
K099,P.S. 099 Isaac Asimov,2,15179522.38
K104,P.S./I.S. 104 The Fort Hamilton School,2,22572310.25
K109,P.S. 109,2,15989314.55
K113,M.S. 113 Ronald Edmonds Learning Center,2,13399170.97
K121,P.S. 121 Nelson A. Rockefeller,2,11088234.9
K126,John Ericsson Middle School 126,2,9461723.42
K136,I.S. 136 Charles O. Dewey,2,12312281.52
K137,P.S./I.S. 137 Rachel Jean Mitchell,2,8490991.47
K138,P.S. 138 Brooklyn,2,15606079.1
K155,P.S./ I.S. 155 Nicholas Herkimer,2,11210187.74
K157,P.S. 157 Benjamin Franklin,2,13200685.5
K162,J.H.S. 162 The Willoughby,2,11211557.73
K163,P.S. 163 Bath Beach,2,13074948.47
K165,P.S. 165 Ida Posner,2,12283112.01
K166,J.H.S. 166 George Gershwin,2,4754635.51
K171,I.S. 171 Abraham Lincoln,2,13967471.58
K174,P.S. 174 Dumont,2,4534215.81
K178,P.S. 178 Saint Clair Mckelway,2,10292792.02
K180,The SEEALL Academy,2,24773750.65
K181,P.S. 181 Brooklyn,2,19234419.98
K184,P.S. 184 Newport,2,12974379.7
K187,The Christa McAuliffe School\I.S. 187,2,18402227.94
K189,P.S. 189 Bilingual Center,2,19711779.61
K192,P.S. 192 - The Magnet School for Math and Science,2,15374170.73
K201,J.H.S. 201 The Dyker Heights,2,22973224.34
K202,P.S. 202 Ernest S. Jenkyns,2,12786270.34
K206,P.S. 206 Joseph F Lamb,2,23944199.66
K207,P.S. 207 Elizabeth G. Leary,2,23459602.25
K209,P.S. 209 Margaret Mead,2,16634593.55
K211,I.S. 211 John Wilson,2,15622124.91
K218,J.H.S. 218 James P. Sinnott,2,10944350.27
K220,J.H.S. 220 John J. Pershing,2,25710423.13
K223,J.H.S. 223 The Montauk,2,19388254.79
K225,P.S. K225 - The Eileen E. Zaglin,2,21554157.73
K226,P.S. 226 Alfred De B.Mason,2,22748046.43
K227,J.H.S. 227 Edward B. Shallow,2,24639442.58
K228,I.S. 228 David A. Boody,2,24356011.24
K229,P.S. 229 Dyker,2,19536323.1
K234,J.H.S. 234 Arthur W. Cunningham,2,29796822.2
K235,P.S. 235 Lenox School,2,22197007.95
K238,P.S. 238 Anne Sullivan,2,16740366.37
K239,Mark Twain I.S. 239 for the Gifted & Talented,2,22955378.31
K240,Andries Hudde,2,17487793.08
K246,M.S. 246 Walt Whitman,2,13970935.15
K259,J.H.S. 259 William Mckinley,2,24341299.75
K262,P.S. 262 El Hajj Malik El Shabazz Elementary School,2,10509471.77
K266,M.S. K266 - Park Place Community Middle School,2,3939819.47
K267,"M.S. 267 Math, Science & Technology",2,6664601.2
K278,J.H.S. 278 Marine Park,2,21394423.03
K281,I.S. 281 Joseph B Cavallaro,2,21485619.94
K282,P.S. 282 Park Slope,2,18406495.44
K284,P.S. 284 Lew Wallace,2,12690136.42
K285,I.S. 285 Meyer Levin,2,15725456.35
K288,P.S. 288 The Shirley Tanyhill,2,11316537.17
K291,J.H.S. 291 Roland Hayes,2,11354454.53
K292,J.H.S. 292 Margaret S. Douglas,2,14141503.97
K301,Satellite East Middle School,2,3490335.13
K302,J.H.S. 302 Rafael Cordero,2,8199631.28
K303,I.S. 303 Herbert S. Eisenberg,2,10659054.16
K306,P.S. 306 Ethan Allen,2,15984541.88
K308,P.S. 308 Clara Cardwell,2,12334792.34
K311,Essence School,2,4693013.5
K313,Satellite West Middle School,2,3335738.2
K318,I.S. 318 Eugenio Maria De Hostos,2,30209448.35
K323,P.S./I.S. 323,2,9833806.26
K327,P.S. 327 Dr. Rose B. English,2,14082386.65
K330,The Urban Assembly School for the Urban Environment,2,2145072.68
K334,Middle School for Academic and Social Excellence,2,3830972.41
K340,I.S. 340,2,4590255.44
K347,I.S. 347 School of Humanities,2,9201901.05
K349,"I.S. 349 Math, Science & Tech.",2,8423274.19
K351,The Urban Assembly Unison School,2,4585246.03
K352,Ebbets Field Middle School,2,6614706.92
K353,Elijah Stroud Middle School,2,5529123.72
K354,The School of Integrated Learning,2,6436265.83
K363,Brownsville Collaborative Middle School,2,3797325.14
K364,I.S. 364 Gateway,2,9259464.89
K366,The Science and Medicine Middle School,2,11139414.22
K377,P.S. 377 Alejandrina B. De Gautier,2,13641069.84
K381,I. S. 381,2,7600800.53
K383,J.H.S. 383 Philippa Schuyler,2,16260175.99
K384,P.S. /I.S. 384 Frances E. Carter,2,15377231.64
K385,"School of Business, Finance and Entrepreneurship",2,3763511.98
K392,I.S. 392,2,5333894.42
K394,M.S. K394,2,12302995.93
K422,Spring Creek Community School,2,5514294.87
K442,M.S. 442 Carroll Gardens School for Innovation,2,6836218.71
K443,New Voices School of Academic & Creative Arts,2,9502716.63
K447,The Math & Science Exploratory School,2,12183007.08
K452,Frederick Douglass Academy VIII Middle School,2,6631224.92
K484,Ronald Edmonds Learning Center II,2,4169929.4
K492,Academy of Arts and Letters,2,8504593.92
K518,Kappa V,2,4526503.66
K522,Mott Hall IV,2,4105141.97
K534,Upper School @ P.S. 25,2,3813822.44
K562,Evergreen Middle School for Urban Exploration,2,8966752.57
K577,Conselyea Preparatory School,2,9664063.23
K581,East Flatbush Community Research School,2,5361009.23
K582,M.S. 582,2,6010099.1
K584,M.S. 584,2,3541763.09
K588,Middle School for Art and Philosophy,2,6340694.37
K596,MS 596 Peace Academy,2,2555102.34
K598,Middle School of Marketing and Legal Studies,2,5617322.56
K634,General D. Chappie James Middle School of Science,2,1670505.17
K654,Van Siclen Community Middle School,2,4716714.48
K661,Vista Academy,2,5445056.06
K662,Liberty Avenue Middle School,2,6996531.59
K663,School of the Future Brooklyn,2,2941608.74
K664,Brooklyn Environmental Exploration School (BEES),2,2421628.39
K668,Riverdale Avenue Middle School,2,2574520.2
K671,Mott Hall Bridges Academy,2,4908265.56
K678,East New York Middle School of Excellence,2,6136712.48
K681,Madiba Prep Middle School,2,5246189.94
K691,Fort Greene Preparatory Academy,2,5717215.91
K722,New Heights Middle School,2,7854668.74
K760,Highland Park Community School,2,2717523.09
K763,Brooklyn Science and Engineering Academy,2,2062989.38
K821,Sunset Park Prep,2,10585781.61
M007,P.S. 007 Samuel Stern,2,9147069.54
M012,Tag Young Scholars,2,8749579.61
M013,J.H.S. 013 Jackie Robinson,2,2132317.09
M018,P.S. 018 Park Terrace,2,9344144.73
M034,P.S. 034 Franklin D. Roosevelt,2,10145181.95
M046,P.S. 046 Arthur Tappan,2,16236227.69
M050,P.S. 050 Vito Marcantonio,2,9245999.43
M052,J.H.S. 052 Inwood,2,11852799.84
M054,J.H.S. 054 Booker T. Washington,2,14267117.66
M057,James Weldon Johnson,2,17813157.74
M076,P.S. 076 A. Philip Randolph,2,11394572
M096,P.S. 096 Joseph Lanzetta,2,11350597.28
M104,J.H.S. 104 Simon Baruch,2,19124254.47
M108,P.S. 108 Assemblyman Angelo Del Toro Educational Complex,2,12929274.58
M111,P.S. 111 Adolph S. Ochs,2,12039044.77
M114,East Side Middle School,2,7963300.54
M123,P.S. 123 Mahalia Jackson,2,14204541
M126,P.S. 126 Jacob August Riis,2,16698791.32
M129,P.S. 129 John H. Finley,2,12433564.07
M131,M.S. 131,2,10641957.51
M140,P.S. 140 Nathan Straus,2,9987607.47
M143,J.H.S. 143 Eleanor Roosevelt,2,10618927.99
M148,Eagle Academy for Young Men of Harlem,2,3675313.55
M149,P.S. 149 Sojourner Truth,2,8201322.11
M161,P.S. 161 Pedro Albizu Campos,2,20028692.74
M165,P.S. 165 Robert E. Simon,2,16701714.53
M167,J.H.S. 167 Robert F. Wagner,2,21754521.07
M171,P.S. 171 Patrick Henry,2,13635949.09
M177,Yorkville East Middle School,2,1760965.57
M180,P.S. 180 Hugo Newman,2,13006455.92
M184,P.S. 184m Shuang Wen,2,12203160.85
M187,P.S./I.S. 187 Hudson Cliffs,2,14480601.47
M188,P.S. 188 The Island School,2,11388012.24
M191,P.S. 191 Amsterdam,2,12767081.17
M206,P.S. 206 Jose Celso Barbosa,2,14407836.61
M209,Hamilton Grange Middle School,2,2046109.03
M210,P.S./I.S. 210 - Twenty-first Century Academy for Community,2,10299358.71
M217,P.S./I.S. 217 Roosevelt Island,2,9970213.9
M218,I.S. 218 Salome Urena,2,6942014.45
M223,The Mott Hall School,2,6253137.85
M224,M.S. 224 Manhattan East School for Arts & Academic,2,3735351.66
M225,Ella Baker School,2,6915236.98
M243,M.S. 243 Center School,2,4142940.26
M245,M.S. M245 The Computer School,2,7004496.68
M247,M.S. M247 Dual Language Middle School,2,4477805.01
M250,M.S. 250 West Side Collaborative Middle School,2,4785998.47
M255,M.S. 255 Salk School of Science,2,6554904.02
M256,M.S. 256 Academic & Athletic Excellence,2,3890914.18
M258,Community Action School - MS 258,2,6010860.09
M260,M.S. 260 Clinton School Writers & Artists,2,6654497.86
M276,Battery Park City School,2,15787838.25
M278,Paula Hedbavny School,2,10921630.59
M286,I.S. M286 Renaissance Leadership Academy,2,4406059.73
M289,I.S. 289,2,5587651.19
M301,"Technology, Arts, and Sciences Studio",2,4210228.53
M302,KAPPA IV,2,4426761.33
M311,Amistad Dual Language School,2,8905701.89
M312,New York City Lab Middle School for Collaborative,2,9515532.65
M319,M.S. 319 - Maria Teresa,2,13519240.52
M322,Middle School 322,2,7756737.53
M324,M.S. 324 - Patria Mirabal,2,10864274.49
M326,M.S. 326 - Writers Today & Leaders Tomorrow,2,6219038.53
M328,M.S. 328 - Manhattan Middle School for Scientific,2,5988271.53
M332,University Neighborhood Middle School,2,3477558.6
M333,P.S. 333 Manhattan School for Children,2,16235180.46
M334,The Anderson School,2,9607745.76
M345,"Collaborative Academy of Science, Technology, & Lang. Arts",2,4387426.14
M347,The 47 American Sign Language & English Lower School,2,11754996.19
M349,Harbor Heights,2,3527959.46
M377,Renaissance School of the Arts,2,4313760.25
M378,School for Global Leaders,2,6092463.14
M381,Global Neighborhood Secondary School,2,4775234.16
M406,Global Technology Preparatory,2,5066660.45
M410,The Urban Assembly Institute for New Technologies,2,3345669.31
M421,West Prep Academy,2,5120553.45
M442,"Ballet Tech, NYC Public School for Dance",2,3474875.65
M514,New Design Middle School,2,7833004.15
M528,I.S. 528 Bea Fuller Rodgers School,2,4802079.62
M825,Isaac Newton Middle School for Math & Science,2,6729116.42
M839,Tompkins Square Middle School,2,7600591.6
M862,Mott Hall II,2,5603461.32
M896,Lower Manhattan Community Middle School,2,10143412.34
M933,City Knoll Middle School,2,2261405.36
Q005,I.S. 5 - The Walter Crowley Intermediate School,2,34919532.84
Q008,J.H.S. 008 Richard S. Grossley,2,11726576.44
Q010,I.S. 010 Horace Greeley,2,16097615.32
Q025,I.S. 025 Adrien Block,2,14546463.94
Q042,P.S./M.S 042 R. Vernam,2,16153249.01
Q043,P.S. 043,2,22073062.28
Q047,P.S. 047 Chris Galas,2,6050497.22
Q049,P.S. 049 Dorothy Bonawit Kole,2,18522107.59
Q053,M.S. 053 Brian Piccolo,2,9119789.94
Q059,I.S. 059 Springfield Gardens,2,10273968.73
Q061,I.S. 061 Leonardo Da Vinci,2,42974672.44
Q067,J.H.S. 067 Louis Pasteur,2,14404292.84
Q072,Catherine & Count Basie Middle School 72,2,16060435.2
Q073,I.S. 73 - The Frank Sansivieri Intermediate School,2,32606578.9
Q074,J.H.S. 074 Nathaniel Hawthorne,2,19033202.61
Q077,I.S. 077,2,21726210.79
Q084,P.S. 084 Steinway,2,8252963.33
Q087,P.S. / I.S. 087 Middle Village,2,13817672.36
Q093,I.S. 093 Ridgewood,2,21420982.19
Q102,P.S. 102 Bayview,2,23164425.3
Q105,P.S. 105 The Bay School,2,17967399.62
Q109,Jean Nuzzi Intermediate School,2,17737675.59
Q111,P.S. 111 Jacob Blackwell,2,10296876.27
Q113,P.S./I.S. 113 Anthony J. Pranzo,2,16496846.41
Q114,P.S. / M.S. 114 Belle Harbor,2,14580431.68
Q116,PS/IS 116 William C. Hughley,2,15657605.75
Q119,I.S. 119 The Glendale,2,18023829.76
Q122,P.S. 122 Mamie Fay,2,22595284.27
Q124,P.S. 124 Osmond A Church,2,22251274.86
Q125,I.S. 125 Thom J. McCann Woodside,2,27360047.97
Q126,Albert Shanker School for Visual and Performing Arts,2,12178182.07
Q127,P.S. 127 Aerospace Science Magne,2,26649818.34
Q128,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary",2,15725076.65
Q137,M.S. 137 America's School of Heroes,2,32027955.34
Q138,P.S./ M.S.138 Sunrise,2,16035479.85
Q141,I.S. 141 The Steinway,2,19838099.18
Q145,I.S. 145 Joseph Pulitzer,2,38509791.62
Q146,P.S. 146 Howard Beach,2,14630460.21
Q147,PS/MS 147 Ronald McNair,2,13653776.49
Q156,P.S. 156 Laurelton,2,9966828.41
Q157,J.H.S. 157 Stephen A. Halsey,2,27066629.6
Q158,M.S. 158 Marie Curie,2,17380560.64
Q164,P.S. 164 Queens Valley,2,13622123.93
Q172,Irwin Altman Middle School 172,2,17270551.31
Q178,P.S./ IS 178 Holliswood,2,9317954.25
Q183,P.S. 183 Dr. Richard R. Green,2,12919703.8
Q185,J.H.S. 185 Edward Bleeker,2,25044179.59
Q189,J.H.S. 189 Daniel Carter Beard,2,13605286.18
Q190,J.H.S. 190 Russell Sage,2,17864589.01
Q192,I.S. 192 The Linden,2,10957504.02
Q194,J.H.S. 194 William Carr,2,19265039.58
Q200,PS/MS 200 - The Pomonok School & STAR Academy,2,10556077.66
Q202,J.H.S. 202 Robert H. Goddard,2,18598922.45
Q204,I.S. 204 Oliver W. Holmes,2,13001302.74
Q207,P.S. 207 Rockwood Park,2,18415611.29
Q208,P.S. / I.S. 208,2,15287624.3
Q210,J.H.S. 210 Elizabeth Blackwell,2,32649347.82
Q216,J.H.S. 216 George J. Ryan,2,21541083.36
Q217,J.H.S. 217 Robert A. Van Wyck,2,28035870.42
Q219,P.S. 219 Paul Klapper,2,16329825.34
Q226,J.H.S. 226 Virgil I. Grissom,2,20061967.15
Q227,I.S. 227 Louis Armstrong,2,33402107.34
Q230,I.S. 230,2,18798616.44
Q232,P.S. 232 Lindenwood,2,18647679.1
Q235,Academy for New Americans,2,3904595.91
Q237,I.S. 237,2,21734587.72
Q238,I.S. 238 - Susan B. Anthony Academy,2,28290073.19
Q250,I.S. 250 The Robert F. Kennedy Community Middle School,2,7679585.41
Q266,P.S. / I.S. 266,2,14128961.25
Q268,PS/IS 268,2,11748188.19
Q270,The Gordon Parks School,2,13061192.4
Q282,Knowledge and Power Preparatory Academy VI,2,4691392.05
Q287,The Emerson School,2,5179671.67
Q289,Queens United Middle School,2,3261284.26
Q291,Hunters Point Community Middle School,2,5501197.37
Q294,BELL Academy,2,7051599.08
Q295,P.S./I.S. 295,2,11180961.16
Q297,Hawtree Creek Middle School,2,5254798.3
Q311,Corona Arts and Sciences Academy,2,4732070.55
Q318,Waterside School For Leadership,2,4830707
Q319,Village Academy,2,7808230.51
Q332,Redwood Middle School,2,2424308.45
Q333,Goldie Maple Academy,2,10058915.09
Q355,Collaborative Arts Middle School,2,9273500.72
Q356,Community Voices Middle School,2,9001214.65
Q499,"The Queens College School for Math, Science and Technology",2,9833316.43
R002,I.S. R002 George L. Egbert,2,17435930.17
R007,I.S. 007 Elias Bernstein,2,24652354.66
R024,I.S. 024 Myra S. Barnes,2,31404986.4
R027,I.S. 027 Anning S. Prall,2,22400186.2
R028,The Eagle Academy for Young Men of Staten Island,2,2187826.06
R034,I.S. 034 Tottenville,2,25130242.4
R049,I.S. 49 Berta A. Dreyfus,2,16992175.49
R051,I.S. 051 Edwin Markham,2,25804276.46
R061,I.S. 061 William A Morris,2,24112506.97
R063,Marsh Avenue School for Expeditionary Learning,2,9839125.16
R072,I.S. 072 Rocco Laurie,2,28448269.57
R075,I.S. 075 Frank D. Paulo,2,30930951.5
R861,Staten Island School of Civic Leadership,2,17903115.5
X003,P.S. 3 Raul Julia Micro Society,2,9615341.71
X004,P.S./M.S. 004 Crotona Park West,2,13691612.15
X005,PS 5 Port Morris,2,16291039.53
X015,P.S. X015 Institute for Environmental Learning,2,11233523.39
X019,P.S. 019 Judith K. Weiss,2,10244473.18
X020,"PS/MS 20 P.O.George J. Werdann, III",2,23708050.41
X022,J.H.S. 022 Jordan L. Mott,2,12928010.95
X029,P.S./M.S. 029 Melrose School,2,16749655.37
X031,P.S./M.S. 031 The William Lloyd Garrison,2,15243434.61
X037,P.S. X037 - Multiple Intelligence School,2,15511625.19
X045,Thomas C. Giordano Middle School 45,2,15583959.83
X071,P.S. 071 Rose E. Scala,2,32090508.79
X080,J.H.S. 080 The Mosholu Parkway,2,15681725.97
X083,P.S. 083 Donald Hertz,2,31998925.1
X089,P.S. 089 Bronx,2,28270626.31
X095,P.S. 095 Sheila Mencher,2,26952214.95
X098,J.H.S. 098 Herman Ridder,2,7996259.92
X101,M.S. X101 Edward R. Byrne,2,9900690.14
X117,I.S. 117 Joseph H. Wade,2,14860779.77
X118,J.H.S. 118 William W. Niles,2,22800953.84
X123,J.H.S. 123 James M. Kieran,2,10171000.64
X125,J.H.S. 125 Henry Hudson,2,9201986.5
X127,J.H.S. 127 The Castle Hill,2,14397894.57
X128,Mott Hall III,2,6538280.09
X129,M.S. 129 Academy for Independent Learning and Lead,2,13536494.4
X131,J.H.S. 131 Albert Einstein,2,14112085.44
X142,MS 142 John Philip Sousa,2,4347879.34
X144,J.H.S. 144 Michelangelo,2,13157715.64
X145,J.H.S. 145 Arturo Toscanini,2,9321119.33
X151,J.H.S. 151 Lou Gehrig,2,7041596.63
X162,J.H.S. 162 Lola Rodriguez De Tio,2,10207455.66
X175,P.S. 175 City Island,2,6477824.77
X180,M.S. 180 Dr. Daniel Hale Williams,2,19775500.23
X181,I.S. 181 Pablo Casals,2,18958951.36
X190,E.S.M.T- I.S. 190,2,5910031.22
X194,PS/MS 194,2,25424866.07
X203,M.S. 203,2,3431262.7
X206,I.S. 206 Ann Mersereau,2,7414978.18
X211,P.S. 211,2,15848580.14
X212,P.S. 212,2,11471361.34
X214,P.S. 214,2,21161094.2
X215,Kappa,2,5809835.71
X217,School of Performing Arts,2,8928397
X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet,2,20049602.88
X219,I.S. 219 New Venture School,2,8358965.6
X224,P.S. / I.S. 224,2,8502240.24
X228,Jonas Bronck Academy,2,8063962.37
X229,I.S. 229 Roland Patterson,2,8862379.16
X232,I.S. 232,2,11542029.01
X244,The New School for Leadership and Journalism,2,16081479.13
X254,I.S. 254,2,11868045.26
X272,Globe School for Environmental Research,2,6613515.16
X273,Frederick Douglass Academy V. Middle School,2,6245124.69
X279,"P.S. 279 Captain Manuel Rivera, Jr.",2,22359574.67
X280,P.S./M.S. 280 Mosholu Parkway,2,17091054.46
X286,Fannie Lou Hamer Middle School,2,6011084.72
X287,The Forward School,2,6011868.96
X289,The Young Scholars Academy of The Bronx,2,7768370.96
X296,South Bronx Academy for Applied Media,2,8658164.93
X298,Academy of Public Relations,2,8105228.04
X301,M.S. 301 Paul L. Dunbar,2,5937442.03
X302,M.S. 302 Luisa Dessus Cruz,2,12465115.2
X303,I.S. X303 Leadership & Community Service,2,7543542.75
X308,Bronx Dance Academy School,2,6446155.31
X313,I.S. 313 School of Leadership Development,2,8971559.74
X315,P.S. 315 Lab School,2,6464677.87
X316,Kappa III,2,7926482.83
X318,"I.S. X318 Math, Science & Technology Through Arts",2,7885237.99
X323,Bronx Writing Academy,2,10584740.82
X325,Urban Science Academy,2,8055114.47
X326,Bronx Green Middle School,2,8711207.12
X328,New Millennium Business Academy Middle School,2,4582035.66
X331,The Bronx School of Young Leaders,2,9685379.96
X337,The School for Inquiry and Social Justice,2,8877043.72
X339,I.S. 339,2,15619957.59
X341,Accion Academy,2,4342782.86
X343,Academy of Applied Mathematics and Technology,2,7020796.31
X350,New Directions Secondary School,2,4803521.7
X355,Bronx Alliance Middle School,2,5309022.9
X361,The Highbridge Green School,2,6567554
X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,2,12277913.37
X366,Urban Assembly Academy of Civic Engagement,2,5151461.29
X370,School of Diplomacy,2,6372755.37
X371,Urban Institute of Mathematics,2,6716905.45
X375,The Bronx Mathematics Preparatory School,2,7001945.02
X383,Emolior Academy,2,6168547.19
X384,Entrada Academy,2,7064305.65
X390,M.S. 390,2,9813954.71
X391,The Angelo Patri Middle School,2,13955344.24
X424,The Hunts Point School,2,9278530.8
X447,Creston Academy,2,11820125.46
X448,Soundview Academy for Culture and Scholarship,2,8481297.22
X454,Science and Technology Academy: A Mott Hall School,2,9294774.51
X459,East Fordham Academy for the Arts,2,8287188.93
X462,Cornerstone Academy For Social Action Middle Sch. (CASA),2,5673448.61
X467,Mott Hall Community School,2,5841004.34
X468,Pelham Acad. Of Academics & Community Engagement,2,7382777.07
X498,PS/MS 11X498 - VAN NEST Academy,2,11780384.73
X529,One World Middle School at Edenwald,2,8750049.47
X532,Baychester Middle School,2,7036639.21
X556,Bronx Park Middle School,2,8480739.31
X562,Blueprint Middle School,2,5856022.81
X566,Pelham Gardens Middle School,2,9581617.35
X568,Young Women's Leadership School of the Bronx,2,5678647.09
K001,P.S. 001 The Bergen,1,27133044.5
K003,P.S. 003 The Bedford Village,1,11715369.99
K005,P.S. 005 Dr. Ronald Mcnair,1,8580109.02
K006,P.S. 006,1,15300112.91
K007,P.S. 007 Abraham Lincoln,1,20456203.49
K009,P.S. 009 Teunis G. Bergen,1,16243062.76
K010,"Magnet School of Math, Science and Design Technology",1,23413028.56
K011,P.S. 011 Purvis J. Behan,1,14032969.37
K012,Dr. Jacqueline Peek-Davis School,1,7208268.46
K013,P.S. 013 Roberto Clemente,1,12028249.08
K015,P.S. 015 Patrick F. Daly,1,13738797.02
K016,P.S. 016 Leonard Dunkly,1,6636408.94
K017,P.S. 017 Henry D. Woodworth,1,8653875.85
K018,P.S. 018 Edward Bush,1,5696142.5
K019,P.S. 019 Roberto Clemente,1,2907177.74
K020,P.S. 020 Clinton Hill,1,8366220.81
K021,P.S. 021 Crispus Attucks,1,13323028.69
K023,P.S. 023 Carter G. Woodson,1,7314929.17
K024,P.S. 024,1,16578017.94
K025,P.S. 025 Eubie Blake School,1,7536945.37
K026,P.S. 026 Jesse Owens,1,6446217.51
K028,P.S. 028 The Warren Prep Academy,1,6837676.85
K029,P.S. 029 John M. Harrigan,1,14235194.39
K031,P.S. 031 Samuel F. Dupont,1,12719305.3
K032,P.S. 032 Samuel Mills Sprole,1,16310378.94
K034,P.S. 034 Oliver H. Perry,1,9747113.65
K038,P.S. 038 The Pacific,1,12205111.61
K039,P.S. 039 Henry Bristow,1,7396793.08
K040,P.S. 040 George W. Carver,1,8086513.96
K044,P.S. 044 Marcus Garvey,1,6651942.81
K046,P.S. 046 Edward C. Blum,1,9363671.52
K048,P.S. 048 Mapleton,1,12895222.63
K052,P.S. 052 Sheepshead Bay,1,17296920.91
K054,P.S. 054 Samuel C. Barnes,1,7775770.34
K056,P.S. 056 Lewis H. Latimer,1,6803145.17
K058,P.S. 058 The Carroll,1,16828366.18
K059,P.S. 059 William Floyd,1,7922065.85
K065,P.S. 065,1,12256535.33
K067,P.S. 067 Charles A. Dorsey,1,6365891.01
K069,P.S. 69 Vincent D. Grippo School,1,16616888.14
K075,P.S. 075 Mayda Cortiella,1,11885840.69
K081,P.S. 081 Thaddeus Stevens,1,9964858.06
K084,P.S. 084 Jose De Diego,1,16512143.14
K086,P.S. 086 The Irvington,1,9603262.93
K090,P.S. 90 Edna Cohen School,1,14486999.74
K091,P.S. 091 The Albany Avenue School,1,12158137.21
K092,P.S. 092 Adrian Hegeman,1,10924295.52
K093,P.S. 093 William H. Prescott,1,7461829.6
K094,P.S. 094 The Henry Longfellow,1,25784234.87
K097,P.S. 97 The Highlawn,1,17366332.7
K100,P.S. 100 The Coney Island School,1,13874864.03
K101,P.S. 101 The Verrazano,1,17021429.78
K102,P.S. 102 The Bayview,1,24291847.12
K105,P.S. 105 The Blythebourne,1,30094087.99
K106,P.S. 106 Edward Everett Hale,1,13784119.2
K107,P.S. 107 John W. Kimball,1,9754651.17
K108,P.S. 108 Sal Abbracciamento,1,18207756.86
K110,P.S. 110 The Monitor,1,8898878.82
K112,P.S. 112 Lefferts Park,1,10820242.66
K114,P.S. 114 Ryder Elementary,1,12911351.37
K115,P.S. 115 Daniel Mucatel School,1,21633590.86
K116,P.S. 116 Elizabeth L Farrell,1,12041245.04
K118,The Maurice Sendak Community School,1,4900304.76
K119,P.S. 119 Amersfort,1,9415091.08
K120,P.S. 120 Carlos Tapia,1,10885238.22
K123,P.S. 123 Suydam,1,16668628.75
K124,P.S. 124 Silas B. Dutcher,1,8239102.08
K127,P.S. 127 Mckinley Park,1,10630364.58
K128,P.S. 128 Bensonhurst,1,9010069.55
K130,P.S. 130 The Parkside,1,14155121.39
K131,P.S. 131 Brooklyn,1,21269678.27
K132,P.S. 132 The Conselyea School,1,13422150.12
K133,P.S. 133 William A. Butler,1,11686513.96
K134,P.S. K134,1,11101120.3
K135,P.S. 135 Sheldon A. Brookner,1,13948730.19
K139,P.S. 139 Alexine A. Fenty,1,18480096.23
K145,P.S. 145 Andrew Jackson,1,17404714.36
K146,P.S. 146,1,16250350.75
K147,P.S. 147 Isaac Remsen,1,7417991.11
K149,P.S. 149 Danny Kaye,1,15447091.86
K150,P.S. 150 Christopher,1,5985808.59
K151,P.S. 151 Lyndon B. Johnson,1,9010892.93
K152,School of Science & Technology,1,18354412.21
K153,P.S. 153 Homecrest,1,11977632.7
K154,The Windsor Terrace School,1,10493568.44
K156,P.S. 156 Waverly,1,18215412.9
K158,P.S. 158 Warwick,1,13022732.08
K159,P.S. 159 Isaac Pitkin,1,14959096.01
K160,P.S. 160 William T. Sampson,1,23459071.77
K161,P.S. 161 The Crown,1,9645032.65
K164,P.S. 164 Caesar Rodney,1,13387267.68
K167,P.S. 167 The Parkway,1,4305723.08
K169,P.S. 169 Sunset Park,1,30063423.34
K170,Ralph A. Fabrizio School,1,19880306.66
K172,P.S. 172 Beacon School of Excellence,1,13013745.1
K176,P.S. 176 Ovington,1,23426306.81
